geoid,measure,value,year
51067020400,employment_access_sqmi,3277,2015
51067020500,employment_access_sqmi,2477,2015
51067020600,employment_access_sqmi,1738,2015
51067020700,employment_access_sqmi,1975,2015
51067020800,employment_access_sqmi,5647,2015
51067020900,employment_access_sqmi,1843,2015
51069050100,employment_access_sqmi,4330,2015
51069050200,employment_access_sqmi,4259,2015
51069050300,employment_access_sqmi,2755,2015
51069050400,employment_access_sqmi,2655,2015
51069050500,employment_access_sqmi,5748,2015
51069050600,employment_access_sqmi,4070,2015
51069050700,employment_access_sqmi,3313,2015
51069050801,employment_access_sqmi,4187,2015
51069050802,employment_access_sqmi,5415,2015
51069050803,employment_access_sqmi,6124,2015
51069050900,employment_access_sqmi,9885,2015
51069051000,employment_access_sqmi,11998,2015
51069051101,employment_access_sqmi,5904,2015
51069051102,employment_access_sqmi,15126,2015
51071930100,employment_access_sqmi,1680,2015
51071930200,employment_access_sqmi,1491,2015
51071930300,employment_access_sqmi,2227,2015
51071930400,employment_access_sqmi,1748,2015
51073100100,employment_access_sqmi,2325,2015
51073100201,employment_access_sqmi,2418,2015
51073100202,employment_access_sqmi,3466,2015
51073100203,employment_access_sqmi,3568,2015
51073100301,employment_access_sqmi,3880,2015
51073100302,employment_access_sqmi,3137,2015
51073100400,employment_access_sqmi,2815,2015
51073100500,employment_access_sqmi,3016,2015
51075400100,employment_access_sqmi,7599,2015
51075400200,employment_access_sqmi,3651,2015
51075400300,employment_access_sqmi,3508,2015
51075400400,employment_access_sqmi,2495,2015
51075400500,employment_access_sqmi,2071,2015
51077060101,employment_access_sqmi,1589,2015
51077060102,employment_access_sqmi,1517,2015
51077060201,employment_access_sqmi,1346,2015
51077060202,employment_access_sqmi,1185,2015
51077060300,employment_access_sqmi,1155,2015
51079030101,employment_access_sqmi,2381,2015
51079030102,employment_access_sqmi,2408,2015
51079030200,employment_access_sqmi,3070,2015
51081880101,employment_access_sqmi,1756,2015
51081880102,employment_access_sqmi,,2015
51081880200,employment_access_sqmi,1612,2015
51083930100,employment_access_sqmi,1406,2015
51083930201,employment_access_sqmi,1485,2015
51083930202,employment_access_sqmi,1604,2015
51083930301,employment_access_sqmi,1700,2015
51083930302,employment_access_sqmi,2090,2015
51083930400,employment_access_sqmi,1565,2015
51083930500,employment_access_sqmi,1823,2015
51083930600,employment_access_sqmi,4212,2015
51083930800,employment_access_sqmi,4754,2015
51085320100,employment_access_sqmi,3067,2015
51085320200,employment_access_sqmi,3358,2015
51085320300,employment_access_sqmi,5026,2015
51085320400,employment_access_sqmi,12493,2015
51085320500,employment_access_sqmi,6213,2015
51085320601,employment_access_sqmi,11036,2015
51085320602,employment_access_sqmi,13948,2015
51085320701,employment_access_sqmi,6900,2015
51085320702,employment_access_sqmi,5669,2015
