"geoid","region_name","measure","value","year","measure_type","region_type"
"51145","Powhatan County, Virginia","intermediate",18,2014,"count","county"
"51147","Prince Edward County, Virginia","intermediate",29,2014,"count","county"
"51149","Prince George County, Virginia","intermediate",33,2014,"count","county"
"51153","Prince William County, Virginia","intermediate",745,2014,"count","county"
"51155","Pulaski County, Virginia","intermediate",43,2014,"count","county"
"51157","Rappahannock County, Virginia","intermediate",9,2014,"count","county"
"51159","Richmond County, Virginia","intermediate",5,2014,"count","county"
"51161","Roanoke County, Virginia","intermediate",87,2014,"count","county"
"51163","Rockbridge County, Virginia","intermediate",15,2014,"count","county"
"51165","Rockingham County, Virginia","intermediate",56,2014,"count","county"
"51167","Russell County, Virginia","intermediate",8,2014,"count","county"
"51169","Scott County, Virginia","intermediate",6,2014,"count","county"
"51171","Shenandoah County, Virginia","intermediate",41,2014,"count","county"
"51173","Smyth County, Virginia","intermediate",12,2014,"count","county"
"51175","Southampton County, Virginia","intermediate",24,2014,"count","county"
"51177","Spotsylvania County, Virginia","intermediate",363,2014,"count","county"
"51179","Stafford County, Virginia","intermediate",329,2014,"count","county"
"51181","Surry County, Virginia","intermediate",3,2014,"count","county"
"51183","Sussex County, Virginia","intermediate",19,2014,"count","county"
"51185","Tazewell County, Virginia","intermediate",44,2014,"count","county"
"51187","Warren County, Virginia","intermediate",57,2014,"count","county"
"51191","Washington County, Virginia","intermediate",6,2014,"count","county"
"51193","Westmoreland County, Virginia","intermediate",26,2014,"count","county"
"51195","Wise County, Virginia","intermediate",73,2014,"count","county"
"51197","Wythe County, Virginia","intermediate",48,2014,"count","county"
"51199","York County, Virginia","intermediate",114,2014,"count","county"
"51510","Alexandria city, Virginia","intermediate",348,2014,"count","county"
"51520","Bristol city, Virginia","intermediate",0,2014,"count","county"
"51530","Buena Vista city, Virginia","intermediate",0,2014,"count","county"
"51540","Charlottesville city, Virginia","intermediate",22,2014,"count","county"
"51550","Chesapeake city, Virginia","intermediate",426,2014,"count","county"
