"geoid","region_type","region_name","measure","value","year","measure_type"
"110010053013","block group","Block Group 3, Census Tract 53.01, District of Columbia","primcare_pop_cnt",1613,2021,"count"
"110010053014","block group","Block Group 4, Census Tract 53.01, District of Columbia","primcare_pop_cnt",1149,2021,"count"
"110010055001","block group","Block Group 1, Census Tract 55, District of Columbia","primcare_pop_cnt",1366,2021,"count"
"110010055002","block group","Block Group 2, Census Tract 55, District of Columbia","primcare_pop_cnt",2047,2021,"count"
"110010055003","block group","Block Group 3, Census Tract 55, District of Columbia","primcare_pop_cnt",1735,2021,"count"
"110010055004","block group","Block Group 4, Census Tract 55, District of Columbia","primcare_pop_cnt",803,2021,"count"
"110010055005","block group","Block Group 5, Census Tract 55, District of Columbia","primcare_pop_cnt",658,2021,"count"
"110010056001","block group","Block Group 1, Census Tract 56, District of Columbia","primcare_pop_cnt",1764,2021,"count"
"110010056002","block group","Block Group 2, Census Tract 56, District of Columbia","primcare_pop_cnt",1849,2021,"count"
"110010056003","block group","Block Group 3, Census Tract 56, District of Columbia","primcare_pop_cnt",2035,2021,"count"
"110010056004","block group","Block Group 4, Census Tract 56, District of Columbia","primcare_pop_cnt",1125,2021,"count"
"110010058001","block group","Block Group 1, Census Tract 58, District of Columbia","primcare_pop_cnt",1732,2021,"count"
"110010058002","block group","Block Group 2, Census Tract 58, District of Columbia","primcare_pop_cnt",1924,2021,"count"
"110010059001","block group","Block Group 1, Census Tract 59, District of Columbia","primcare_pop_cnt",2511,2021,"count"
"110010062021","block group","Block Group 1, Census Tract 62.02, District of Columbia","primcare_pop_cnt",58,2021,"count"
"110010064001","block group","Block Group 1, Census Tract 64, District of Columbia","primcare_pop_cnt",1754,2021,"count"
"110010064002","block group","Block Group 2, Census Tract 64, District of Columbia","primcare_pop_cnt",1080,2021,"count"
"110010065001","block group","Block Group 1, Census Tract 65, District of Columbia","primcare_pop_cnt",1293,2021,"count"
"110010065002","block group","Block Group 2, Census Tract 65, District of Columbia","primcare_pop_cnt",1717,2021,"count"
"110010066001","block group","Block Group 1, Census Tract 66, District of Columbia","primcare_pop_cnt",1996,2021,"count"
"110010067001","block group","Block Group 1, Census Tract 67, District of Columbia","primcare_pop_cnt",1221,2021,"count"
"110010067002","block group","Block Group 2, Census Tract 67, District of Columbia","primcare_pop_cnt",1409,2021,"count"
"110010067003","block group","Block Group 3, Census Tract 67, District of Columbia","primcare_pop_cnt",1794,2021,"count"
"110010068011","block group","Block Group 1, Census Tract 68.01, District of Columbia","primcare_pop_cnt",1882,2021,"count"
"110010068012","block group","Block Group 2, Census Tract 68.01, District of Columbia","primcare_pop_cnt",572,2021,"count"
"110010068021","block group","Block Group 1, Census Tract 68.02, District of Columbia","primcare_pop_cnt",861,2021,"count"
"110010068022","block group","Block Group 2, Census Tract 68.02, District of Columbia","primcare_pop_cnt",1717,2021,"count"
"110010068041","block group","Block Group 1, Census Tract 68.04, District of Columbia","primcare_pop_cnt",2800,2021,"count"
"110010069001","block group","Block Group 1, Census Tract 69, District of Columbia","primcare_pop_cnt",1493,2021,"count"
"110010069002","block group","Block Group 2, Census Tract 69, District of Columbia","primcare_pop_cnt",1206,2021,"count"
"110010070001","block group","Block Group 1, Census Tract 70, District of Columbia","primcare_pop_cnt",1211,2021,"count"
"110010070002","block group","Block Group 2, Census Tract 70, District of Columbia","primcare_pop_cnt",1233,2021,"count"
"110010071001","block group","Block Group 1, Census Tract 71, District of Columbia","primcare_pop_cnt",563,2021,"count"
"110010071002","block group","Block Group 2, Census Tract 71, District of Columbia","primcare_pop_cnt",2806,2021,"count"
"110010072001","block group","Block Group 1, Census Tract 72, District of Columbia","primcare_pop_cnt",4563,2021,"count"
"110010072002","block group","Block Group 2, Census Tract 72, District of Columbia","primcare_pop_cnt",2264,2021,"count"
"110010073011","block group","Block Group 1, Census Tract 73.01, District of Columbia","primcare_pop_cnt",4803,2021,"count"
"110010073041","block group","Block Group 1, Census Tract 73.04, District of Columbia","primcare_pop_cnt",2506,2021,"count"
"110010073042","block group","Block Group 2, Census Tract 73.04, District of Columbia","primcare_pop_cnt",1122,2021,"count"
"110010073043","block group","Block Group 3, Census Tract 73.04, District of Columbia","primcare_pop_cnt",617,2021,"count"
"110010074011","block group","Block Group 1, Census Tract 74.01, District of Columbia","primcare_pop_cnt",688,2021,"count"
"110010074012","block group","Block Group 2, Census Tract 74.01, District of Columbia","primcare_pop_cnt",1033,2021,"count"
