geoid,measure,measure_type,region_name,region_type,value,year,moe
51800075405,gini_index,index,"Census Tract 754.05, Suffolk city, Virginia",tract,0.355,2015,0.0459
51800075501,gini_index,index,"Census Tract 755.01, Suffolk city, Virginia",tract,0.4238,2015,0.0352
51800075502,gini_index,index,"Census Tract 755.02, Suffolk city, Virginia",tract,0.3823,2015,0.0688
51800075601,gini_index,index,"Census Tract 756.01, Suffolk city, Virginia",tract,0.4437,2015,0.0478
51800075602,gini_index,index,"Census Tract 756.02, Suffolk city, Virginia",tract,0.3308,2015,0.0407
51800075701,gini_index,index,"Census Tract 757.01, Suffolk city, Virginia",tract,0.4471,2015,0.0402
51800075702,gini_index,index,"Census Tract 757.02, Suffolk city, Virginia",tract,0.3281,2015,0.038
51800075703,gini_index,index,"Census Tract 757.03, Suffolk city, Virginia",tract,0.3728,2015,0.0476
51800075801,gini_index,index,"Census Tract 758.01, Suffolk city, Virginia",tract,0.3572,2015,0.042
51800075802,gini_index,index,"Census Tract 758.02, Suffolk city, Virginia",tract,0.4195,2015,0.0796
51620090100,gini_index,index,"Census Tract 901, Franklin city, Virginia",tract,0.4342,2015,0.0353
51179010503,gini_index,index,"Census Tract 105.03, Stafford County, Virginia",tract,0.4581,2015,0.0573
51059421600,gini_index,index,"Census Tract 4216, Fairfax County, Virginia",tract,0.375,2015,0.0479
51131990100,gini_index,index,"Census Tract 9901, Northampton County, Virginia",tract,,2015,
51141030100,gini_index,index,"Census Tract 301, Patrick County, Virginia",tract,0.4679,2015,0.0396
51141030200,gini_index,index,"Census Tract 302, Patrick County, Virginia",tract,0.413,2015,0.0441
51145500101,gini_index,index,"Census Tract 5001.01, Powhatan County, Virginia",tract,0.422,2015,0.0403
51145500102,gini_index,index,"Census Tract 5001.02, Powhatan County, Virginia",tract,0.3517,2015,0.0331
51145500200,gini_index,index,"Census Tract 5002, Powhatan County, Virginia",tract,0.3805,2015,0.0333
51145500300,gini_index,index,"Census Tract 5003, Powhatan County, Virginia",tract,0.2934,2015,0.0998
51145500400,gini_index,index,"Census Tract 5004, Powhatan County, Virginia",tract,0.361,2015,0.0346
51171040600,gini_index,index,"Census Tract 406, Shenandoah County, Virginia",tract,0.4559,2015,0.0404
51171040300,gini_index,index,"Census Tract 403, Shenandoah County, Virginia",tract,0.3692,2015,0.0264
51171040700,gini_index,index,"Census Tract 407, Shenandoah County, Virginia",tract,0.3977,2015,0.0308
51171040800,gini_index,index,"Census Tract 408, Shenandoah County, Virginia",tract,0.4202,2015,0.0374
51171040500,gini_index,index,"Census Tract 405, Shenandoah County, Virginia",tract,0.4505,2015,0.0545
51171040400,gini_index,index,"Census Tract 404, Shenandoah County, Virginia",tract,0.3283,2015,0.0351
51171040100,gini_index,index,"Census Tract 401, Shenandoah County, Virginia",tract,0.3889,2015,0.0325
51760040300,gini_index,index,"Census Tract 403, Richmond city, Virginia",tract,0.697,2015,0.0677
51760041000,gini_index,index,"Census Tract 410, Richmond city, Virginia",tract,0.462,2015,0.0661
51760060400,gini_index,index,"Census Tract 604, Richmond city, Virginia",tract,0.5471,2015,0.057
51760070100,gini_index,index,"Census Tract 701, Richmond city, Virginia",tract,0.4397,2015,0.0616
51760070802,gini_index,index,"Census Tract 708.02, Richmond city, Virginia",tract,0.486,2015,0.1155
51760071001,gini_index,index,"Census Tract 710.01, Richmond city, Virginia",tract,0.4077,2015,0.0488
51760060200,gini_index,index,"Census Tract 602, Richmond city, Virginia",tract,0.3843,2015,0.0443
51760010700,gini_index,index,"Census Tract 107, Richmond city, Virginia",tract,0.4477,2015,0.0502
51760070801,gini_index,index,"Census Tract 708.01, Richmond city, Virginia",tract,0.4177,2015,0.0424
51760010800,gini_index,index,"Census Tract 108, Richmond city, Virginia",tract,0.4558,2015,0.0586
51760011000,gini_index,index,"Census Tract 110, Richmond city, Virginia",tract,0.4385,2015,0.0518
51760020200,gini_index,index,"Census Tract 202, Richmond city, Virginia",tract,0.541,2015,0.049
51760020300,gini_index,index,"Census Tract 203, Richmond city, Virginia",tract,0.4421,2015,0.054
51059491402,gini_index,index,"Census Tract 4914.02, Fairfax County, Virginia",tract,0.3349,2015,0.0733
51059491403,gini_index,index,"Census Tract 4914.03, Fairfax County, Virginia",tract,0.3033,2015,0.0416
51059491404,gini_index,index,"Census Tract 4914.04, Fairfax County, Virginia",tract,0.338,2015,0.0458
51059491405,gini_index,index,"Census Tract 4914.05, Fairfax County, Virginia",tract,0.2539,2015,0.0353
51059420600,gini_index,index,"Census Tract 4206, Fairfax County, Virginia",tract,0.369,2015,0.0855
51059431300,gini_index,index,"Census Tract 4313, Fairfax County, Virginia",tract,0.2575,2015,0.023
51059440100,gini_index,index,"Census Tract 4401, Fairfax County, Virginia",tract,0.3978,2015,0.0339
51059450300,gini_index,index,"Census Tract 4503, Fairfax County, Virginia",tract,0.387,2015,0.0329
