geoid,region_type,region_name,year,value,measure,measure_type
51031,county,"Campbell County, Virginia",2018,34,degrees_awarded_undergraduate,count
51033,county,"Caroline County, Virginia",2018,9,degrees_awarded_undergraduate,count
51035,county,"Carroll County, Virginia",2018,10,degrees_awarded_undergraduate,count
51036,county,"Charles City County, Virginia",2018,0,degrees_awarded_undergraduate,count
51037,county,"Charlotte County, Virginia",2018,9,degrees_awarded_undergraduate,count
51041,county,"Chesterfield County, Virginia",2018,182,degrees_awarded_undergraduate,count
51043,county,"Clarke County, Virginia",2018,4,degrees_awarded_undergraduate,count
51045,county,"Craig County, Virginia",2018,1,degrees_awarded_undergraduate,count
51047,county,"Culpeper County, Virginia",2018,17,degrees_awarded_undergraduate,count
51049,county,"Cumberland County, Virginia",2018,4,degrees_awarded_undergraduate,count
51051,county,"Dickenson County, Virginia",2018,1,degrees_awarded_undergraduate,count
51053,county,"Dinwiddie County, Virginia",2018,11,degrees_awarded_undergraduate,count
51057,county,"Essex County, Virginia",2018,4,degrees_awarded_undergraduate,count
51059,county,"Fairfax County, Virginia",2018,545,degrees_awarded_undergraduate,count
51061,county,"Fauquier County, Virginia",2018,31,degrees_awarded_undergraduate,count
51063,county,"Floyd County, Virginia",2018,10,degrees_awarded_undergraduate,count
51065,county,"Fluvanna County, Virginia",2018,12,degrees_awarded_undergraduate,count
51067,county,"Franklin County, Virginia",2018,35,degrees_awarded_undergraduate,count
51069,county,"Frederick County, Virginia",2018,55,degrees_awarded_undergraduate,count
51071,county,"Giles County, Virginia",2018,7,degrees_awarded_undergraduate,count
51073,county,"Gloucester County, Virginia",2018,10,degrees_awarded_undergraduate,count
51075,county,"Goochland County, Virginia",2018,10,degrees_awarded_undergraduate,count
51077,county,"Grayson County, Virginia",2018,4,degrees_awarded_undergraduate,count
51079,county,"Greene County, Virginia",2018,10,degrees_awarded_undergraduate,count
51081,county,"Greensville County, Virginia",2018,7,degrees_awarded_undergraduate,count
51083,county,"Halifax County, Virginia",2018,22,degrees_awarded_undergraduate,count
51085,county,"Hanover County, Virginia",2018,67,degrees_awarded_undergraduate,count
51087,county,"Henrico County, Virginia",2018,105,degrees_awarded_undergraduate,count
51089,county,"Henry County, Virginia",2018,24,degrees_awarded_undergraduate,count
51091,county,"Highland County, Virginia",2018,0,degrees_awarded_undergraduate,count
51093,county,"Isle of Wight County, Virginia",2018,16,degrees_awarded_undergraduate,count
51095,county,"James City County, Virginia",2018,33,degrees_awarded_undergraduate,count
51097,county,"King and Queen County, Virginia",2018,3,degrees_awarded_undergraduate,count
51099,county,"King George County, Virginia",2018,9,degrees_awarded_undergraduate,count
51101,county,"King William County, Virginia",2018,3,degrees_awarded_undergraduate,count
51103,county,"Lancaster County, Virginia",2018,4,degrees_awarded_undergraduate,count
51105,county,"Lee County, Virginia",2018,4,degrees_awarded_undergraduate,count
51107,county,"Loudoun County, Virginia",2018,175,degrees_awarded_undergraduate,count
51109,county,"Louisa County, Virginia",2018,15,degrees_awarded_undergraduate,count
51111,county,"Lunenburg County, Virginia",2018,3,degrees_awarded_undergraduate,count
51113,county,"Madison County, Virginia",2018,6,degrees_awarded_undergraduate,count
51115,county,"Mathews County, Virginia",2018,6,degrees_awarded_undergraduate,count
51117,county,"Mecklenburg County, Virginia",2018,15,degrees_awarded_undergraduate,count
51119,county,"Middlesex County, Virginia",2018,2,degrees_awarded_undergraduate,count
51121,county,"Montgomery County, Virginia",2018,48,degrees_awarded_undergraduate,count
51125,county,"Nelson County, Virginia",2018,8,degrees_awarded_undergraduate,count
51127,county,"New Kent County, Virginia",2018,11,degrees_awarded_undergraduate,count
51131,county,"Northampton County, Virginia",2018,1,degrees_awarded_undergraduate,count
51133,county,"Northumberland County, Virginia",2018,5,degrees_awarded_undergraduate,count
51135,county,"Nottoway County, Virginia",2018,3,degrees_awarded_undergraduate,count
51137,county,"Orange County, Virginia",2018,16,degrees_awarded_undergraduate,count
51139,county,"Page County, Virginia",2018,14,degrees_awarded_undergraduate,count
51141,county,"Patrick County, Virginia",2018,9,degrees_awarded_undergraduate,count
51143,county,"Pittsylvania County, Virginia",2018,23,degrees_awarded_undergraduate,count
51145,county,"Powhatan County, Virginia",2018,14,degrees_awarded_undergraduate,count
51147,county,"Prince Edward County, Virginia",2018,12,degrees_awarded_undergraduate,count
51149,county,"Prince George County, Virginia",2018,6,degrees_awarded_undergraduate,count
51153,county,"Prince William County, Virginia",2018,208,degrees_awarded_undergraduate,count
51155,county,"Pulaski County, Virginia",2018,13,degrees_awarded_undergraduate,count
51157,county,"Rappahannock County, Virginia",2018,3,degrees_awarded_undergraduate,count
51159,county,"Richmond County, Virginia",2018,2,degrees_awarded_undergraduate,count
51161,county,"Roanoke County, Virginia",2018,83,degrees_awarded_undergraduate,count
51163,county,"Rockbridge County, Virginia",2018,8,degrees_awarded_undergraduate,count
51165,county,"Rockingham County, Virginia",2018,37,degrees_awarded_undergraduate,count
51167,county,"Russell County, Virginia",2018,6,degrees_awarded_undergraduate,count
51169,county,"Scott County, Virginia",2018,2,degrees_awarded_undergraduate,count
51171,county,"Shenandoah County, Virginia",2018,23,degrees_awarded_undergraduate,count
51173,county,"Smyth County, Virginia",2018,2,degrees_awarded_undergraduate,count
51175,county,"Southampton County, Virginia",2018,7,degrees_awarded_undergraduate,count
51177,county,"Spotsylvania County, Virginia",2018,57,degrees_awarded_undergraduate,count
51179,county,"Stafford County, Virginia",2018,66,degrees_awarded_undergraduate,count
51181,county,"Surry County, Virginia",2018,3,degrees_awarded_undergraduate,count
51183,county,"Sussex County, Virginia",2018,0,degrees_awarded_undergraduate,count
51185,county,"Tazewell County, Virginia",2018,9,degrees_awarded_undergraduate,count
51187,county,"Warren County, Virginia",2018,8,degrees_awarded_undergraduate,count
51191,county,"Washington County, Virginia",2018,16,degrees_awarded_undergraduate,count
51193,county,"Westmoreland County, Virginia",2018,7,degrees_awarded_undergraduate,count
51195,county,"Wise County, Virginia",2018,11,degrees_awarded_undergraduate,count
