"","fips","TractID","geography","county","state","total_population_2020","percent_food_insecure_2020","number_food_insecure_2020","unemployment_rate","percent_poor","percent_black","percent_hispanic","median_income","percent_homeowners","percent_disabled"
"118",51059,51059451800,"Census Tract 4518, Fairfax County, Virginia","Fairfax County, Virginia","VA",3854,0.032,120,0.044,0.041,0.057,0.388,120179,0.81,0.105
"119",51059,51059451900,"Census Tract 4519, Fairfax County, Virginia","Fairfax County, Virginia","VA",4665,0.066,310,0.041,0.069,0.248,0.136,81571,0.539,0.108
"120",51059,51059452000,"Census Tract 4520, Fairfax County, Virginia","Fairfax County, Virginia","VA",3018,0.042,130,0.011,0.059,0.109,0.152,140801,0.742,0.146
"121",51059,51059452101,"Census Tract 4521.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",5242,0.07,360,0.057,0.127,0.14,0.285,106400,0.776,0.089
"122",51059,51059452102,"Census Tract 4521.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",3297,0.05,170,0.057,0.041,0.2,0.121,112083,0.753,0.109
"123",51059,51059452200,"Census Tract 4522, Fairfax County, Virginia","Fairfax County, Virginia","VA",5924,0.078,460,0.063,0.084,0.142,0.21,88842,0.538,0.079
"124",51059,51059452301,"Census Tract 4523.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3602,0.155,560,0.022,0.31,0.173,0.328,43357,0.457,0.172
"125",51059,51059452302,"Census Tract 4523.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4933,0.071,350,0.055,0.106,0.082,0.553,69375,0.422,0.043
"126",51059,51059452400,"Census Tract 4524, Fairfax County, Virginia","Fairfax County, Virginia","VA",7467,0.041,300,0.04,0.068,0.032,0.24,113651,0.757,0.039
"127",51059,51059452501,"Census Tract 4525.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3779,0.01,40,0.031,0.004,0.087,0.123,128542,0.898,0.06
"128",51059,51059452502,"Census Tract 4525.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4950,0.069,340,0.018,0.114,0.46,0.277,67280,0.262,0.09
"129",51059,51059452600,"Census Tract 4526, Fairfax County, Virginia","Fairfax County, Virginia","VA",7463,0.061,460,0.029,0.126,0.265,0.298,133438,0.48,0.061
"130",51059,51059452700,"Census Tract 4527, Fairfax County, Virginia","Fairfax County, Virginia","VA",5248,0.094,490,0.058,0.174,0.326,0.306,63278,0.476,0.056
"131",51059,51059452801,"Census Tract 4528.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",5112,0.125,640,0.052,0.211,0.258,0.061,75345,0.403,0.061
"132",51059,51059452802,"Census Tract 4528.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",2877,0.074,210,0.021,0.16,0.346,0.084,71608,0.771,0.131
"133",51059,51059460100,"Census Tract 4601, Fairfax County, Virginia","Fairfax County, Virginia","VA",4403,0.036,160,0.045,0.069,0.02,0.048,206528,0.945,0.061
"134",51059,51059460200,"Census Tract 4602, Fairfax County, Virginia","Fairfax County, Virginia","VA",4014,0.003,10,0.013,0.024,0.009,0.089,235433,0.948,0.073
"135",51059,51059460300,"Census Tract 4603, Fairfax County, Virginia","Fairfax County, Virginia","VA",2908,0,0,0.024,0.007,0.018,0.088,210152,0.947,0.041
"136",51059,51059460400,"Census Tract 4604, Fairfax County, Virginia","Fairfax County, Virginia","VA",4888,0.041,200,0.019,0.053,0.096,0.12,155357,0.593,0.068
"137",51059,51059460501,"Census Tract 4605.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",2577,0.022,60,0.027,0.031,0.003,0.069,186958,0.936,0.088
